date_start|date_end|Product_ID|Price|discount_rate|Quantity
01 Jan 2021|31 Jan 2021|AE10014|750.00|15|350
11 Jan 2021|22 Jan 2021|AE10013|1500.00|10|150
02 Feb 2021|22 Feb 2021|AS10017|2350.00|20|320
03 Mar 2021|13 Mar 2021|AS10019|890.00|25|380
25 Mar 2021|31 Mar 2021|AS10088|1300.00|45|400
04 Apr 2021|09 Apr 2021|AQ10081|1100.00|30|800
24 Apr 2021|28 Apr 2021|AQ10021|1600.00|35|190
05 May 2021|25 May 2021|AQ10031|1200.00|40|630
06 Jun 2021|30 Jun 2021|AT10044|5100.00|30|1350
19 Jun 2021|25 Jun 2021|AG10044|700.00|30|500
07 Jul 2021|14 Jul 2021|AF10047|650.00|10|300
18 Jul 2021|21 Jul 2021|AF10037|1680.00|30|60
08 Aug 2021|09 Aug 2021|AF10044|4000.00|50|50
09 Sep 2021|29 Sep 2021|AS10064|4570.00|60|150
10 Oct 2021|15 Oct 2021|AF10060|6500.00|20|530
18 Oct 2021|19 Oct 2021|AF10077|4700.00|20|90
11 Nov 2021|22 Nov 2021|AQ10032|2200.00|25|430
11 Nov 2021|22 Nov 2021|AQ10033|1200.00|15|120
12 Dec 2021|25 Dec 2021|AE10039|7000.00|65|300
12 Dec 2021|31 Dec 2021|AS10088|8500.00|55|100
22 Dec 2021|29 Dec 2021|AS10005|100.00|10|1000
